Tabela,Data,Kurs Å›redni,Zmiana
251/A/NBP/2023,2023-12-29,4.6828,0.34
250/A/NBP/2023,2023-12-28,4.6671,1.48
249/A/NBP/2023,2023-12-27,4.599,0.04
248/A/NBP/2023,2023-12-22,4.597,-0.04
247/A/NBP/2023,2023-12-21,4.5988,0.22
246/A/NBP/2023,2023-12-20,4.5885,0.39
245/A/NBP/2023,2023-12-19,4.5709,0.21
244/A/NBP/2023,2023-12-18,4.5611,0.52
243/A/NBP/2023,2023-12-15,4.5374,0.1
242/A/NBP/2023,2023-12-14,4.5328,-1.09
241/A/NBP/2023,2023-12-13,4.5827,0.04
240/A/NBP/2023,2023-12-12,4.581,-0.03
239/A/NBP/2023,2023-12-11,4.5824,-0.19
238/A/NBP/2023,2023-12-08,4.5913,-0.25
237/A/NBP/2023,2023-12-07,4.6027,0.1
236/A/NBP/2023,2023-12-06,4.5982,0.64
235/A/NBP/2023,2023-12-05,4.5689,0.02
234/A/NBP/2023,2023-12-04,4.5678,0.02
233/A/NBP/2023,2023-12-01,4.567,0.35
232/A/NBP/2023,2023-11-30,4.551,1.06
231/A/NBP/2023,2023-11-29,4.5031,-0.32
230/A/NBP/2023,2023-11-28,4.5175,0.12
229/A/NBP/2023,2023-11-27,4.512,-0.5
228/A/NBP/2023,2023-11-24,4.5348,0.16
227/A/NBP/2023,2023-11-23,4.5274,-0.35
226/A/NBP/2023,2023-11-22,4.5433,0.72
225/A/NBP/2023,2023-11-21,4.5106,-0.31
224/A/NBP/2023,2023-11-20,4.5248,-0.39
223/A/NBP/2023,2023-11-17,4.5427,-0.06
222/A/NBP/2023,2023-11-16,4.5452,-0.09
221/A/NBP/2023,2023-11-15,4.5495,-0.49
220/A/NBP/2023,2023-11-14,4.572,-0.55
219/A/NBP/2023,2023-11-13,4.5975,0.15
218/A/NBP/2023,2023-11-10,4.5905,-0.42
217/A/NBP/2023,2023-11-09,4.61,-0.52
216/A/NBP/2023,2023-11-08,4.6343,0.13
215/A/NBP/2023,2023-11-07,4.6283,-0.08
214/A/NBP/2023,2023-11-06,4.6322,0.06
213/A/NBP/2023,2023-11-03,4.6293,-0.37
212/A/NBP/2023,2023-11-02,4.6466,0.52
211/A/NBP/2023,2023-10-31,4.6227,-0.69
210/A/NBP/2023,2023-10-30,4.6546,-0.83
209/A/NBP/2023,2023-10-27,4.6935,-0.4
208/A/NBP/2023,2023-10-26,4.7123,-0.24
207/A/NBP/2023,2023-10-25,4.7236,0.56
206/A/NBP/2023,2023-10-24,4.6974,-0.23
205/A/NBP/2023,2023-10-23,4.7083,-0.52
204/A/NBP/2023,2023-10-20,4.7328,0.72
203/A/NBP/2023,2023-10-19,4.6989,0.5
202/A/NBP/2023,2023-10-18,4.6753,0.16
201/A/NBP/2023,2023-10-17,4.6676,-0.87
200/A/NBP/2023,2023-10-16,4.7085,-0.81
199/A/NBP/2023,2023-10-13,4.747,0.15
198/A/NBP/2023,2023-10-12,4.7398,0.47
197/A/NBP/2023,2023-10-11,4.7174,-0.76
196/A/NBP/2023,2023-10-10,4.7537,-0.35
195/A/NBP/2023,2023-10-09,4.7704,-0.13
194/A/NBP/2023,2023-10-06,4.7768,0.18
193/A/NBP/2023,2023-10-05,4.7683,-0.79
192/A/NBP/2023,2023-10-04,4.8065,0.45
191/A/NBP/2023,2023-10-03,4.7848,-0.04
190/A/NBP/2023,2023-10-02,4.7869,-0.34
189/A/NBP/2023,2023-09-29,4.803,0.12
188/A/NBP/2023,2023-09-28,4.7973,0.8
187/A/NBP/2023,2023-09-27,4.759,-0.14
186/A/NBP/2023,2023-09-26,4.7657,0.39
185/A/NBP/2023,2023-09-25,4.747,-0.59
184/A/NBP/2023,2023-09-22,4.7752,-0.12
183/A/NBP/2023,2023-09-21,4.7809,-1.39
182/A/NBP/2023,2023-09-20,4.8483,-0.05
181/A/NBP/2023,2023-09-19,4.8505,-0.03
180/A/NBP/2023,2023-09-18,4.8519,0.08
179/A/NBP/2023,2023-09-15,4.8481,0.46
178/A/NBP/2023,2023-09-14,4.8261,-0.29
177/A/NBP/2023,2023-09-13,4.8403,-1.25
176/A/NBP/2023,2023-09-12,4.9015,1.45
175/A/NBP/2023,2023-09-11,4.8313,0.18
174/A/NBP/2023,2023-09-08,4.8225,0.33
173/A/NBP/2023,2023-09-07,4.8067,2.08
172/A/NBP/2023,2023-09-06,4.7086,0.38
171/A/NBP/2023,2023-09-05,4.691,0.31
170/A/NBP/2023,2023-09-04,4.6767,0.05
169/A/NBP/2023,2023-09-01,4.6742,0.23
168/A/NBP/2023,2023-08-31,4.6636,-0.37
167/A/NBP/2023,2023-08-30,4.6807,0.18
166/A/NBP/2023,2023-08-29,4.6725,-0.21
165/A/NBP/2023,2023-08-28,4.6821,0.12
164/A/NBP/2023,2023-08-25,4.6767,-0.13
163/A/NBP/2023,2023-08-24,4.683,-0.5
162/A/NBP/2023,2023-08-23,4.7067,0.93
161/A/NBP/2023,2023-08-22,4.6632,-0.18
160/A/NBP/2023,2023-08-21,4.6718,-0.38
159/A/NBP/2023,2023-08-18,4.6897,0.36
158/A/NBP/2023,2023-08-17,4.673,0.48
157/A/NBP/2023,2023-08-16,4.6507,0.64
156/A/NBP/2023,2023-08-14,4.6212,0.03
155/A/NBP/2023,2023-08-11,4.6199,-0.44
154/A/NBP/2023,2023-08-10,4.6402,0.01
153/A/NBP/2023,2023-08-09,4.6398,0.36
152/A/NBP/2023,2023-08-08,4.6231,0.35
151/A/NBP/2023,2023-08-07,4.6069,-0.46
150/A/NBP/2023,2023-08-04,4.6282,-0.52
149/A/NBP/2023,2023-08-03,4.6523,0.77
148/A/NBP/2023,2023-08-02,4.6167,0.31
147/A/NBP/2023,2023-08-01,4.6024,0.18
146/A/NBP/2023,2023-07-31,4.5943,-0.88
145/A/NBP/2023,2023-07-28,4.635,-0.07
144/A/NBP/2023,2023-07-27,4.6383,0.14
143/A/NBP/2023,2023-07-26,4.6316,0.31
142/A/NBP/2023,2023-07-25,4.6172,-0.36
141/A/NBP/2023,2023-07-24,4.634,0.4
140/A/NBP/2023,2023-07-21,4.6156,-0.26
139/A/NBP/2023,2023-07-20,4.6276,0.35
138/A/NBP/2023,2023-07-19,4.6113,0.44
137/A/NBP/2023,2023-07-18,4.5913,-0.43
136/A/NBP/2023,2023-07-17,4.6113,-0.17
135/A/NBP/2023,2023-07-14,4.6193,0.36
134/A/NBP/2023,2023-07-13,4.6028,0.17
133/A/NBP/2023,2023-07-12,4.5948,0.37
132/A/NBP/2023,2023-07-11,4.5779,0.2
131/A/NBP/2023,2023-07-10,4.5688,-0.63
130/A/NBP/2023,2023-07-07,4.5978,0.18
129/A/NBP/2023,2023-07-06,4.5894,0.84
128/A/NBP/2023,2023-07-05,4.5511,0.34
127/A/NBP/2023,2023-07-04,4.5359,0.16
126/A/NBP/2023,2023-07-03,4.5288,-0.6
125/A/NBP/2023,2023-06-30,4.5562,0.07
124/A/NBP/2023,2023-06-29,4.5531,0.05
123/A/NBP/2023,2023-06-28,4.5508,0.59
122/A/NBP/2023,2023-06-27,4.5243,-0.41
121/A/NBP/2023,2023-06-26,4.543,0.04
120/A/NBP/2023,2023-06-23,4.5414,0.68
119/A/NBP/2023,2023-06-22,4.5109,-0.48
118/A/NBP/2023,2023-06-21,4.5326,0.17
117/A/NBP/2023,2023-06-20,4.5248,-0.48
116/A/NBP/2023,2023-06-19,4.5464,-0.52
115/A/NBP/2023,2023-06-16,4.57,0.18
114/A/NBP/2023,2023-06-15,4.5618,-0.35
113/A/NBP/2023,2023-06-14,4.5779,-0.05
112/A/NBP/2023,2023-06-13,4.5802,0.39
111/A/NBP/2023,2023-06-12,4.5623,-1.11
110/A/NBP/2023,2023-06-09,4.6136,-0.16
109/A/NBP/2023,2023-06-07,4.6211,-0.19
108/A/NBP/2023,2023-06-06,4.6298,0.56
107/A/NBP/2023,2023-06-05,4.6041,-0.63
106/A/NBP/2023,2023-06-02,4.6332,-0.52
105/A/NBP/2023,2023-06-01,4.6572,-0.3
104/A/NBP/2023,2023-05-31,4.671,0.05
103/A/NBP/2023,2023-05-30,4.6688,-0.15
102/A/NBP/2023,2023-05-29,4.6758,0.27
101/A/NBP/2023,2023-05-26,4.6634,0.58
100/A/NBP/2023,2023-05-25,4.6363,0.6
99/A/NBP/2023,2023-05-24,4.6087,-0.46
98/A/NBP/2023,2023-05-23,4.6298,-0.97
97/A/NBP/2023,2023-05-22,4.6753,0.39
96/A/NBP/2023,2023-05-19,4.6571,0.01
95/A/NBP/2023,2023-05-18,4.6568,1.03
94/A/NBP/2023,2023-05-17,4.6095,-0.18
93/A/NBP/2023,2023-05-16,4.6176,-0.14
92/A/NBP/2023,2023-05-15,4.624,-0.97
91/A/NBP/2023,2023-05-12,4.6693,0.88
90/A/NBP/2023,2023-05-11,4.6284,-0.75
89/A/NBP/2023,2023-05-10,4.6633,-0.01
88/A/NBP/2023,2023-05-09,4.6637,0.14
87/A/NBP/2023,2023-05-08,4.6572,-0.17
86/A/NBP/2023,2023-05-05,4.6652,-0.3
85/A/NBP/2023,2023-05-04,4.6792,0.51
84/A/NBP/2023,2023-05-02,4.6555,-0.14
83/A/NBP/2023,2023-04-28,4.6619,0.15
82/A/NBP/2023,2023-04-27,4.655,-0.33
81/A/NBP/2023,2023-04-26,4.6702,-0.62
80/A/NBP/2023,2023-04-25,4.6993,-0.26
79/A/NBP/2023,2023-04-24,4.7116,0.23
78/A/NBP/2023,2023-04-21,4.701,0.2
77/A/NBP/2023,2023-04-20,4.6914,-0.23
76/A/NBP/2023,2023-04-19,4.7023,-0.02
75/A/NBP/2023,2023-04-18,4.7031,-0.4
74/A/NBP/2023,2023-04-17,4.7222,-0.24
73/A/NBP/2023,2023-04-14,4.7334,-0.06
72/A/NBP/2023,2023-04-13,4.7361,0.13
71/A/NBP/2023,2023-04-12,4.7301,-0.35
70/A/NBP/2023,2023-04-11,4.7467,-0.04
69/A/NBP/2023,2023-04-07,4.7486,-0.18
68/A/NBP/2023,2023-04-06,4.757,0.7
67/A/NBP/2023,2023-04-05,4.724,0.53
66/A/NBP/2023,2023-04-04,4.6989,-0.09
65/A/NBP/2023,2023-04-03,4.7033,0.38
64/A/NBP/2023,2023-03-31,4.6856,-0.26
63/A/NBP/2023,2023-03-30,4.698,-0.07
62/A/NBP/2023,2023-03-29,4.7012,-0.41
61/A/NBP/2023,2023-03-28,4.7205,-0.62
60/A/NBP/2023,2023-03-27,4.75,-0.26
59/A/NBP/2023,2023-03-24,4.7623,1.39
58/A/NBP/2023,2023-03-23,4.697,-0.39
57/A/NBP/2023,2023-03-22,4.7154,-0.03
56/A/NBP/2023,2023-03-21,4.7167,-0.65
55/A/NBP/2023,2023-03-20,4.7477,-0.53
54/A/NBP/2023,2023-03-17,4.7728,0.02
53/A/NBP/2023,2023-03-16,4.7718,-0.46
52/A/NBP/2023,2023-03-15,4.7938,-0.2
51/A/NBP/2023,2023-03-14,4.8035,-0.04
50/A/NBP/2023,2023-03-13,4.8054,1
49/A/NBP/2023,2023-03-10,4.7578,0.55
48/A/NBP/2023,2023-03-09,4.7319,-0.05
47/A/NBP/2023,2023-03-08,4.7342,0.39
46/A/NBP/2023,2023-03-07,4.7156,-0.52
45/A/NBP/2023,2023-03-06,4.7402,0.26
44/A/NBP/2023,2023-03-03,4.728,1.15
43/A/NBP/2023,2023-03-02,4.6743,-0.61
42/A/NBP/2023,2023-03-01,4.7031,-0.83
41/A/NBP/2023,2023-02-28,4.7424,-0.13
40/A/NBP/2023,2023-02-27,4.7487,-0.55
39/A/NBP/2023,2023-02-24,4.7749,-0.7
38/A/NBP/2023,2023-02-23,4.8085,-0.19
37/A/NBP/2023,2023-02-22,4.8176,0.03
36/A/NBP/2023,2023-02-21,4.816,-0.05
35/A/NBP/2023,2023-02-20,4.8185,0.09
34/A/NBP/2023,2023-02-17,4.8144,-0.42
33/A/NBP/2023,2023-02-16,4.8349,0.51
32/A/NBP/2023,2023-02-15,4.8105,-0.85
31/A/NBP/2023,2023-02-14,4.8519,-0.13
30/A/NBP/2023,2023-02-13,4.8582,0.62
29/A/NBP/2023,2023-02-10,4.8283,0.77
28/A/NBP/2023,2023-02-09,4.7912,-0.19
27/A/NBP/2023,2023-02-08,4.8004,0.31
26/A/NBP/2023,2023-02-07,4.7856,0.84
25/A/NBP/2023,2023-02-06,4.7458,0.93
24/A/NBP/2023,2023-02-03,4.7023,-0.26
23/A/NBP/2023,2023-02-02,4.7147,-0.16
22/A/NBP/2023,2023-02-01,4.7222,0.65
21/A/NBP/2023,2023-01-31,4.6918,-0.29
20/A/NBP/2023,2023-01-30,4.7054,0.2
19/A/NBP/2023,2023-01-27,4.6961,-0.38
18/A/NBP/2023,2023-01-26,4.7142,0.58
17/A/NBP/2023,2023-01-25,4.687,-0.31
16/A/NBP/2023,2023-01-24,4.7014,-0.22
15/A/NBP/2023,2023-01-23,4.7118,-0.34
14/A/NBP/2023,2023-01-20,4.7281,-0.33
13/A/NBP/2023,2023-01-19,4.7437,-0.03
12/A/NBP/2023,2023-01-18,4.7449,0.94
11/A/NBP/2023,2023-01-17,4.7005,0.1
10/A/NBP/2023,2023-01-16,4.6959,0.77
9/A/NBP/2023,2023-01-13,4.66,-0.37
8/A/NBP/2023,2023-01-12,4.6773,-1.04
7/A/NBP/2023,2023-01-11,4.7266,-0.54
6/A/NBP/2023,2023-01-10,4.7525,-0.17
5/A/NBP/2023,2023-01-09,4.7606,0.36
4/A/NBP/2023,2023-01-05,4.7437,-0.04
3/A/NBP/2023,2023-01-04,4.7454,0.24
2/A/NBP/2023,2023-01-03,4.7342,-0.08
1/A/NBP/2023,2023-01-02,4.7379,-0.63
252/A/NBP/2022,2022-12-30,4.7679,-0.1
251/A/NBP/2022,2022-12-29,4.7725,0.61
250/A/NBP/2022,2022-12-28,4.7438,0.86
249/A/NBP/2022,2022-12-27,4.7035,0.23
248/A/NBP/2022,2022-12-23,4.6925,-0.91
247/A/NBP/2022,2022-12-22,4.7358,-0.18
246/A/NBP/2022,2022-12-21,4.7443,-0.17
245/A/NBP/2022,2022-12-20,4.7524,0.15
244/A/NBP/2022,2022-12-19,4.7453,-0.23
243/A/NBP/2022,2022-12-16,4.7564,0.17
242/A/NBP/2022,2022-12-15,4.7482,0.09
241/A/NBP/2022,2022-12-14,4.7439,-0.24
240/A/NBP/2022,2022-12-13,4.7551,-0.15
239/A/NBP/2022,2022-12-12,4.7624,0.32
238/A/NBP/2022,2022-12-09,4.7474,-0.05
237/A/NBP/2022,2022-12-08,4.7496,-0.24
236/A/NBP/2022,2022-12-07,4.7608,0.29
235/A/NBP/2022,2022-12-06,4.7472,-0.15
234/A/NBP/2022,2022-12-05,4.7542,-0.07
233/A/NBP/2022,2022-12-02,4.7576,-0.01
232/A/NBP/2022,2022-12-01,4.758,0.34
231/A/NBP/2022,2022-11-30,4.7421,-0.06
230/A/NBP/2022,2022-11-29,4.7449,-0.22
229/A/NBP/2022,2022-11-28,4.7555,-0.36
228/A/NBP/2022,2022-11-25,4.7729,-0.17
227/A/NBP/2022,2022-11-24,4.7808,0
226/A/NBP/2022,2022-11-23,4.7807,-0.35
225/A/NBP/2022,2022-11-22,4.7977,0.07
224/A/NBP/2022,2022-11-21,4.7944,0.56
223/A/NBP/2022,2022-11-18,4.7675,-0.49
222/A/NBP/2022,2022-11-17,4.7909,0.04
221/A/NBP/2022,2022-11-16,4.7888,-0.36
220/A/NBP/2022,2022-11-15,4.8059,0.17
219/A/NBP/2022,2022-11-14,4.7977,0.15
218/A/NBP/2022,2022-11-10,4.7905,0.92
217/A/NBP/2022,2022-11-09,4.7467,0.11
216/A/NBP/2022,2022-11-08,4.7417,0.23
215/A/NBP/2022,2022-11-07,4.731,-0.45
214/A/NBP/2022,2022-11-04,4.7523,-0.36
213/A/NBP/2022,2022-11-03,4.7697,0.09
212/A/NBP/2022,2022-11-02,4.7656,0.59
211/A/NBP/2022,2022-10-31,4.7376,-0.69
210/A/NBP/2022,2022-10-28,4.7705,-0.19
209/A/NBP/2022,2022-10-27,4.7798,-0.84
208/A/NBP/2022,2022-10-26,4.8203,-0.32
207/A/NBP/2022,2022-10-25,4.8359,-0.52
206/A/NBP/2022,2022-10-24,4.8612,0.19
205/A/NBP/2022,2022-10-21,4.852,-0.4
204/A/NBP/2022,2022-10-20,4.8717,-0.37
203/A/NBP/2022,2022-10-19,4.8899,-0.39
202/A/NBP/2022,2022-10-18,4.9091,-0.61
201/A/NBP/2022,2022-10-17,4.9392,-0.27
200/A/NBP/2022,2022-10-14,4.9526,-0.88
199/A/NBP/2022,2022-10-13,4.9964,-0.53
198/A/NBP/2022,2022-10-12,5.0231,0.1
197/A/NBP/2022,2022-10-11,5.0179,-0.38
196/A/NBP/2022,2022-10-10,5.0372,0.61
195/A/NBP/2022,2022-10-07,5.0065,0.38
194/A/NBP/2022,2022-10-06,4.9874,1.17
193/A/NBP/2022,2022-10-05,4.9299,0.17
192/A/NBP/2022,2022-10-04,4.9215,-1.19
191/A/NBP/2022,2022-10-03,4.9806,-1.79
190/A/NBP/2022,2022-09-30,5.0714,-0.95
189/A/NBP/2022,2022-09-29,5.12,0.97
188/A/NBP/2022,2022-09-28,5.071,1.15
187/A/NBP/2022,2022-09-27,5.0135,0.58
186/A/NBP/2022,2022-09-26,4.9846,0.29
185/A/NBP/2022,2022-09-23,4.9701,0.16
184/A/NBP/2022,2022-09-22,4.9621,-0.13
183/A/NBP/2022,2022-09-21,4.9687,1.88
182/A/NBP/2022,2022-09-20,4.8772,-0.19
181/A/NBP/2022,2022-09-19,4.8864,-0.55
180/A/NBP/2022,2022-09-16,4.9134,-0.01
179/A/NBP/2022,2022-09-15,4.9137,-0.08
178/A/NBP/2022,2022-09-14,4.9174,0.87
177/A/NBP/2022,2022-09-13,4.8752,0.67
176/A/NBP/2022,2022-09-12,4.8428,-0.54
175/A/NBP/2022,2022-09-09,4.8693,0.53
174/A/NBP/2022,2022-09-08,4.8438,0.05
173/A/NBP/2022,2022-09-07,4.8413,0.21
172/A/NBP/2022,2022-09-06,4.8311,-0.36
171/A/NBP/2022,2022-09-05,4.8487,0.52
170/A/NBP/2022,2022-09-02,4.8237,0.26
169/A/NBP/2022,2022-09-01,4.8112,-0.73
168/A/NBP/2022,2022-08-31,4.8467,-0.44
167/A/NBP/2022,2022-08-30,4.8679,-1.34
166/A/NBP/2022,2022-08-29,4.9342,0.3
165/A/NBP/2022,2022-08-26,4.9196,-0.44
164/A/NBP/2022,2022-08-25,4.9415,-1
163/A/NBP/2022,2022-08-24,4.9916,0.44
162/A/NBP/2022,2022-08-23,4.9696,0.51
161/A/NBP/2022,2022-08-22,4.9444,0.58
160/A/NBP/2022,2022-08-19,4.9159,0.87
159/A/NBP/2022,2022-08-18,4.8733,0.48
158/A/NBP/2022,2022-08-17,4.85,-0.58
157/A/NBP/2022,2022-08-16,4.8784,0.96
156/A/NBP/2022,2022-08-12,4.8318,0.38
155/A/NBP/2022,2022-08-11,4.8134,-0.66
154/A/NBP/2022,2022-08-10,4.8454,0.45
153/A/NBP/2022,2022-08-09,4.8239,0.21
152/A/NBP/2022,2022-08-08,4.8137,-0.03
151/A/NBP/2022,2022-08-05,4.8153,-0.15
150/A/NBP/2022,2022-08-04,4.8226,0.21
149/A/NBP/2022,2022-08-03,4.8127,-0.4
148/A/NBP/2022,2022-08-02,4.8322,-0.84
147/A/NBP/2022,2022-08-01,4.873,0.1
146/A/NBP/2022,2022-07-29,4.8682,-0.73
145/A/NBP/2022,2022-07-28,4.904,0
144/A/NBP/2022,2022-07-27,4.9039,2.29
143/A/NBP/2022,2022-07-26,4.7943,0.05
142/A/NBP/2022,2022-07-25,4.7917,-1.16
141/A/NBP/2022,2022-07-22,4.8479,0.98
140/A/NBP/2022,2022-07-21,4.8008,0.05
139/A/NBP/2022,2022-07-20,4.7982,-0.11
138/A/NBP/2022,2022-07-19,4.8036,-0.73
137/A/NBP/2022,2022-07-18,4.8387,-1.11
136/A/NBP/2022,2022-07-15,4.893,-0.21
135/A/NBP/2022,2022-07-14,4.9035,-0.47
134/A/NBP/2022,2022-07-13,4.9269,0.49
133/A/NBP/2022,2022-07-12,4.9031,1.28
132/A/NBP/2022,2022-07-11,4.8409,-0.25
131/A/NBP/2022,2022-07-08,4.8528,0.23
130/A/NBP/2022,2022-07-07,4.8418,0.27
129/A/NBP/2022,2022-07-06,4.8287,1.36
128/A/NBP/2022,2022-07-05,4.7641,1.56
127/A/NBP/2022,2022-07-04,4.6911,-0.35
126/A/NBP/2022,2022-07-01,4.7075,0.36
125/A/NBP/2022,2022-06-30,4.6904,0.63
124/A/NBP/2022,2022-06-29,4.6611,0.21
123/A/NBP/2022,2022-06-28,4.6513,0.43
122/A/NBP/2022,2022-06-27,4.6314,-0.48
121/A/NBP/2022,2022-06-24,4.6538,0.35
120/A/NBP/2022,2022-06-23,4.6375,1.22
119/A/NBP/2022,2022-06-22,4.5818,0.67
118/A/NBP/2022,2022-06-21,4.5511,-1.05
117/A/NBP/2022,2022-06-20,4.5993,-0.5
116/A/NBP/2022,2022-06-17,4.6223,3.7
115/A/NBP/2022,2022-06-15,4.4574,-0.87
114/A/NBP/2022,2022-06-14,4.4967,0.84
113/A/NBP/2022,2022-06-13,4.4594,0.68
112/A/NBP/2022,2022-06-10,4.4292,1.36
111/A/NBP/2022,2022-06-09,4.3696,-0.31
110/A/NBP/2022,2022-06-08,4.3834,-0.38
109/A/NBP/2022,2022-06-07,4.4,-0.93
108/A/NBP/2022,2022-06-06,4.4412,-0.3
107/A/NBP/2022,2022-06-03,4.4547,-0.32
106/A/NBP/2022,2022-06-02,4.4689,0.35
105/A/NBP/2022,2022-06-01,4.4531,0.32
104/A/NBP/2022,2022-05-31,4.4387,-0.35
103/A/NBP/2022,2022-05-30,4.4544,-0.6
102/A/NBP/2022,2022-05-27,4.4814,-0.42
101/A/NBP/2022,2022-05-26,4.5003,0.62
100/A/NBP/2022,2022-05-25,4.4727,0.01
99/A/NBP/2022,2022-05-24,4.4723,-0.07
98/A/NBP/2022,2022-05-23,4.4755,-0.68
97/A/NBP/2022,2022-05-20,4.5061,-0.53
96/A/NBP/2022,2022-05-19,4.5303,2.05
95/A/NBP/2022,2022-05-18,4.4395,-0.33
94/A/NBP/2022,2022-05-17,4.4542,-0.09
93/A/NBP/2022,2022-05-16,4.4582,-0.58
92/A/NBP/2022,2022-05-13,4.4843,-0.39
91/A/NBP/2022,2022-05-12,4.502,0.72
90/A/NBP/2022,2022-05-11,4.47,0.39
89/A/NBP/2022,2022-05-10,4.4528,-1.21
88/A/NBP/2022,2022-05-09,4.5074,-0.27
87/A/NBP/2022,2022-05-06,4.5196,0.45
